AABERG,ˈɑbɝg 
URBANOWICZ,ɝbˈænəvɪtʃ 
URBANSKI,ɝbˈænski 
URBAS,ˈɝbəz 
URBASZEWSKI,ˌɝbəsˈuski 
URBINA,ɝbˈinə
URCHIN,ˈɝtʃən 
URCHINS,ˈɝtʃənz 
URDA,ˈɝ də
URDANGARIN,ɝ dˈæŋɑrɪn 
URDIALES,ˈɝ dieɪɫz 
URDU,ɝ dˈu
URE,jˈur 
UREA,jɝˈiə
UREMIA,jɝˈimiə
UREN,ɝˈɛn 
URENA,ɝˈeɪnə
URESTI,ɝˈɛs  ti 
URETHANE,jˈɝəθˌeɪn 
URETHRA,jˌɝˈiθrə
UREY,jˈɝi 
URFER,ˈɝ fɝ
URGE,ˈɝdʒ 
URGED,ˈɝdʒ  d 
URGEN,ˈɝdʒˌɛn 
URGEN'S,ˈɝdʒˌɛnz 
URGENCY,ˈɝdʒənsi 
URGENT,ˈɝdʒən  t 
URGENTLY,ˈɝdʒən  tɫi 
URGES,ˈɝdʒəz 
URGES(1),ˈɝdʒɪz 
URGING,ˈɝdʒɪŋ 
URGINGS,ˈɝdʒɪŋz 
URGO,ˈɝgoʊ
URI,jˈɝi 
URI'S,jˈɝiz 
URIAN,jˈɝiən 
URIARTE,jˈɝiˈɑr ti 
URIAS,jɝˈiəz 
URIBE,jɝˈibi 
URIC,jˈɝɪk 
URICH,jˈɝɪk 
URICK,jˈɝrɪk 
URIE,jˈɝi 
URIEGAS,jɝˈigəz 
URINALYSIS,jˌɝənˈæɫəsɪs 
URINARY,jˈɝənˌɛri 
URINATE,jˈɝənˌeɪ t 
URINATING,jˈɝənˌeɪ tɪŋ 
URINE,jˈɝən 
URINE(1),jˈʊrən 
URIOSTE,jɝiˈoʊs  ti 
URKEL,ˈɝkəɫ 
URMAN,ˈɝmən 
URN,ˈɝn 
URNESS,ˈɝnəs 
UROKINASE,jˌɝəkənˈeɪz 
UROLOGIST,jɝˈɑɫədʒəs  t 
UROLOGISTS,jɝˈɑɫədʒəs  ts 
UROLOGY,jɝˈɑɫədʒi 
URQUHART,ˈɝkˌɑr t 
URQUIDEZ,ɝkwˈi  dɛz 
URQUIDI,ɝkwˈi  di 
URQUIZA,ɝkwˈizə
URREA,ɝˈiə
URRUTIA,ɝˈuʃə
URSA,ˈɝsə
URSCHEL,ˈɝʃəɫ 
URSERY,ˈɝsɝi 
URSIE,ˈɝsi 
URSIN,ˈɝsɪn 
URSINI,ɝsˈini 
URSO,ˈɝsoʊ
URSOLA,ɝsˈoʊɫə
URSON,ˈɝsən 
URSTADT,ˈɝs  tˌæ  t 
URSULA,ˈɝsəɫə
URSUS,ˈɝsəs 
URSY,ˈɝsi 
URTON,ˈɝ tən 
URUGUAY,jˈɝəgwˌeɪ
URUGUAY(1),jˈɝəgwˌaɪ
URUGUAY'S,jˈɝəgwˌeɪz 
URUGUAY'S(1),jˈɝəgwˌaɪz 
URUGUAYAN,jˌɝəgwˈeɪən 
URUGUAYAN(1),jˌɝəgwˈaɪən 
URWIN,ˈɝwən 
URY,jˈuri 
URY(1),jˈɝi 
US,ˈʌs 
US(1),jˈuˈɛs 
USA,jˈuˈɛsˈeɪ
USABLE,jˈuzəbəɫ 
USAFE,jˈuseɪ f 
USAGE,jˈusədʒ 
USAGE(1),jˈusɪdʒ 
USAGES,jˈusədʒəz 
USAGES(1),jˈusɪdʒɪz 
USAID,jˈuˈɛsˈeɪ d 
USAIR,jˈuˈɛsˈɛr
USAIR'S,jˈuˈɛsˈɛrz 
USAIRWAYS,jˈuˈɛsˈɛrwˌeɪz 
USAMERIBANCS,jˈuˈɛsəmˈɛrɪbˌænks 
USBANCORP,jˈuˈɛsbˈæŋkˌɔr p 
USE,jˈus 
USE(1),jˈuz 
USEC,jˈusɛk 
USED,jˈuz  d 
USEFUL,jˈus  fəɫ 
USEFUL'S,jˈus  fəɫz 
USEFULLY,jˈus  fəɫi 
USEFULNESS,jˈus  fəɫnəs 
USELESS,jˈusɫəs 
USELMAN,jˈusəɫmən 
USELTON,jˈusəɫ  tən 
USENET,jˈuznˌɛ  t 
USER,jˈuzɝ
USER'S,jˈuzɝz 
USERS,jˈuzɝz 
USERS',jˈuzɝz 
USERY,jˈuzɝi 
USES,jˈusəz 
USES(1),jˈusɪz 
USES(2),jˈuzəz 
USES(3),jˈuzɪz 
USHER,ˈʌʃɝ
USHERED,ˈʌʃɝ d 
USHERING,ˈʌʃɝɪŋ 
USHERS,ˈʌʃɝz 
USINES,jˌuzˈinz 
USING,jˈuzɪŋ 
USINOR,jˈusənɝ
USONIAM,jusˈoʊniəm 
USREY,ˈʌsri 
USRY,ˈʌsri 
USS,jˈuˈɛsˈɛs 
USSERY,ˈʌsɝi 
USTASHA,jus  tˈɑʃə
USTINOV,ˈus  tɪnɑv 
USTINOV(1),jˈus  tɪnɑv 
USTRUST,jˈuˈɛs  trˈʌs  t 
USUAL,jˈuʒəwəɫ 
USUAL(1),jˈuʒuəɫ 
USUALLY,jˈuʒəwəɫi 
USUALLY(1),jˈuʒəɫi 
USURP,jˌusˈɝ p 
USURPATION,jˌusɝ pˈeɪʃən 
USURPED,jˌusˈɝ p  t 
USURPING,jˌusˈɝ pɪŋ 
USURPS,jˌusˈɝ ps 
USURY,jˈuʒɝi 
USURY(1),jˈuzɝi 
UTAH,jˈu tˌɔ 
UTAH'S,jˈu tɑz 
UTAMARO,jˌu  təmˈɑroʊ
UTECH,jˈu tˌɛk 
UTECHT,jˈu tˌɛk  t 
UTENSIL,ju tˈɛnsəɫ 
UTENSILS,ju tˈɛnsəɫz 
UTERINE,jˈu tɝən 
UTERO,jˈu tɝoʊ
UTERUS,jˈu tɝəs 
UTGOFF,ˈʌ tgɔ  f 
UTHE,ˈʌð 
UTHE(1),ˈʌθ 
UTHER,jˈuθɝ
UTHER(1),ˈʌðɝ
UTICA,jˈu təkə
UTICA(1),jˈu tikə
UTILICORP,ju tˈɪɫəkɔr p 
UTILICORP(1),ju tˈɪɫəkɔr
UTILITARIAN,ju tˌɪɫə tˈɛriən 
UTILITIES,ju tˈɪɫə tiz 
UTILITIES',ju tˈɪɫə tiz 
UTILITY,ju tˈɪɫə ti 
UTILITY'S,ju tˈɪɫə tiz 
UTILIZATION,jˌu  təɫəzˈeɪʃən 
UTILIZE,jˈu təɫˌaɪz 
UTILIZED,jˈu təɫˌaɪz  d 
UTILIZES,jˈu təɫˌaɪzɪz 
UTILIZING,jˈu təɫˌaɪzɪŋ 
UTKE,ˈʌ tki 
UTLEY,ˈʌ tɫi 
UTMOST,ˈʌ tmˌoʊs  t 
UTOPIA,ju tˈoʊ piə
UTOPIAN,ju tˈoʊ piən 
UTOPIANS,ju tˈoʊ piənz 
UTOPIAS,ju tˈoʊ piəz 
UTSEY,ˈʌ tsi 
UTSUMI,u tsˈumi 
UTT,ˈʌ t 
UTTECH,ˈʌ tˌɛk 
UTTER,ˈʌ tɝ
UTTERANCE,ˈʌ tɝəns 
UTTERANCES,ˈʌ tɝənsɪz 
UTTERED,ˈʌ tɝ d 
UTTERING,ˈʌ tɝɪŋ 
UTTERLY,ˈʌ tɝɫi 
UTTERS,ˈʌ tɝz 
UTZ,ˈʌ ts 
UTZINGER,ˈʌ tzɪŋɝ
UVA,jˈuvə
UVA(1),jˈuvˈiˈeɪ
UWE,jˈu
UY,ˈui 
UY(1),jˈuwˈaɪ
UYEDA,aɪˈi  də
UYEHARA,ujeɪhˈɑrə
UYENO,aɪˈeɪnoʊ
UYS,jˈuiz 
UYS(1),jˈuwˈaɪˈɛs 
UZBEK,ˈuzbɛk 
UZBEKISTAN,uzbˈɛkɪs  tˌæn 
UZBEKS,ˈuzbɛks 
UZELAC,əzˈɛɫək 
UZI,ˈuzi 
UZIS,ˈuziz 
UZMACK,ˈuzmˌæk 
UZZELL,uzˈɛɫ 
UZZLE,ˈʌzəɫ 
U,ɫjˈuˈɛɫ 
U,sm _Cjˈuˈɛsˈɛmsˈi 
V,vˈi 
V'S,vˈiz 
V.,vˈi 
V.'S,vˈiz 
V.A.,vˌiˈeɪ
V.S,vˈiz 
VAAL,vˈɑɫ 
VAAPENFABRIKK,vˌɑ  pˈɛn  fəbrɪk 
VAAPENFABRIKK(1),vˈɑ  pən  fˌɑbrɪk 
VACA,vˈækə
VACANCIES,vˈeɪkənsiz 
VACANCY,vˈeɪkənsi 
VACANT,vˈeɪkən  t 
VACANTI,vəkˈæn  ti 
VACATE,vˈeɪkeɪ t 
VACATED,veɪkˈeɪ tə d 
VACATED(1),vˈeɪkeɪ tə d 
VACATING,vˈeɪkeɪ tɪŋ 
VACATION,veɪkˈeɪʃən 
VACATIONED,veɪkˈeɪʃən  d 
VACATIONER,veɪkˈeɪʃənɝ
VACATIONERS,veɪkˈeɪʃənɝz 
VACATIONERS',veɪkˈeɪʃənɝz 
VACATIONING,veɪkˈeɪʃənɪŋ 
VACATIONING(1),veɪkˈeɪʃnɪŋ 
VACATIONS,veɪkˈeɪʃənz 
VACAVILLE,vˈækəvˌɪɫ 
VACCA,vˈækə
VACCARELLA,vɑkɝˈɛɫə
VACCARO,vəkˈɑroʊ
VACCINA,vˌæksˈinə
VACCINATE,vˈæksəneɪ t 
VACCINATED,vˈæksəneɪ tɪ  d 
VACCINATION,væksənˈeɪʃən 
VACCINATIONS,vˌæksənˈeɪʃənz 
VACCINE,vˌæksˈin 
VACCINE'S,vˌæksˈinz 
VACCINES,vˌæksˈinz 
VACCINIA,vətʃˈiniə
VACCO,vˈækoʊ
VACEK,vˈɑtʃˌɛk 
VACHA,vˈætʃə
VACHON,vˈætʃən 
VACILLATE,vˈæsəɫˌeɪ t 
VACILLATED,vˈæsəɫeɪ tɪ  d 
VACILLATES,vˈæsəɫˌeɪ ts 
VACILLATING,vˈæsəɫˌeɪ tɪŋ 
VACILLATION,vˌæsəɫˈeɪʃən 
VACLAV,vˈækɫˌɑv 
VACLAV(1),vˈɑkɫˌɑv 
VACLAVIK,vˈækɫəvɪk 
VACUOUS,vˈækjuəs 
VACUTAINER,vˈækju tˌeɪnɝ
VACUUM,vˈækjum 
VACUUMED,vˈækjum  d 
VACUUMING,vˈækjumɪŋ 
VACUUMS,vˈækjumz 
VADALA,vɑ  dˈɑɫə
VADAS,vˈɑ  dɑz 
VADEHRA,və dˈeɪrə
VADEN,vˈeɪ dən 
VADER,vˈeɪ dɝ
VADIM,vɑ  dˈim 
VADNAIS,və dnˈeɪ
VADNEY,vˈæ  dni 
VAETH,vˈiθ 
VAGABOND,vˈægəbɑn  d 
VAGABONDS,vˈægəbɑn  dz 
VAGARIES,vˈeɪgɝiz 
VAGARY,vˈeɪgɝi 
VAGELOS,vədʒˈɛɫoʊs 
VAGINA,vədʒˈaɪnə
VAGINAL,vədʒˈaɪnəɫ 
VAGRANCY,vˈeɪgrənsi 
VAGRANT,vˈeɪgrən  t 
VAGRANTS,vˈeɪgrən  ts 
VAGUE,vˈeɪg 
VAGUELY,vˈeɪgɫi 
VAGUENESS,vˈeɪgnɪs 
VAGUER,vˈeɪgɝ
VAGUEST,vˈeɪgɪs  t 
VAGUINE,vəgwˈin 
VAHEY,vˈæhˌeɪ
VAHID,vɑhˈi  d 
VAHL,vˈɑɫ 
VAHLE,vˈeɪhəɫ 
VAIL,vˈeɪɫ 
VAILAB,vˈeɪɫˌæb 
VAILE,vˈeɪɫ 
VAILLANCOURT,vˈeɪɫənkˌɔr t 
VAIN,vˈeɪn 
VAINLY,vˈeɪnɫi 
VAJDA,vˈaɪ də
VAJNA,vˈaɪnə
VAKUF,vˈækˌʌ f 
VAL,vˈæɫ 
VALA,vˈɑɫə
VALABLE,vˈæɫəbəɫ 
VALADE,vɑɫˈɑ  deɪ
VALADEZ,vɑɫˈɑ  dɛz 
VALASEK,vəɫˈɑsɛk 
VALBORGA,vɑɫbˈɔrgə
VALCOURT,vəɫkˈɔr t 
VALDA,vˈɑɫ  də
VALDEMAR,vɑɫ  deɪmˈɑr
VALDERRAMA,vɑɫ  dɛrˈɑmə
VALDES,væɫ  dˈɛz 
VALDES-PEREZ,vˌæɫ  dˈɛz  pɝˈɛz 
VALDESHARI,vˌæɫ  dɛʃˈɑri 
VALDEZ,væɫ  dˈɛz 
VALDIS,vˈæɫ  dɪs 
VALDIVIA,vɑɫ  dˈiviə
VALDOSTA,vˌæɫ  dˈɔs  tə
VALDOVINOS,vɑɫ  doʊvˈinoʊz 
VALE,vˈeɪɫ 
VALEA,vəɫˈiə
VALEDA,vɑɫˈeɪ də
VALEDICTORIAN,vˌæɫə dˌɪk  tˈɔriən 
VALEDICTORY,vˌæɫə dˈɪk  tɝi 
VALEK,vˈɑɫɛk 
VALENCE,vˈeɪɫəns 
VALENCIA,vəɫˈɛnsiə
VALENCIA'S,vəɫˈɛnsiəz 
VALENCIENNE,vəɫˈɛnsiˌɛn 
VALENS,vˈæɫənz 
VALENSUELA,vˌæɫənzwˈeɪɫə
VALENSUELA'S,vˌæɫənzwˈeɪɫəz 
VALENT,vˈæɫən  t 
VALENTA,vəɫˈɛn  tˌʌ
VALENTE,vɑɫˈɛn  tˌi 
VALENTI,vɑɫˈɛn  tˌi 
VALENTIA,vɑɫˈɛnʃə
VALENTIN,vˌɑɫˈɛn  tˌin 
VALENTINA,vˌɑɫɛn  tˈinə
VALENTINE,vˈæɫən  tˌaɪn 
VALENTINE'S,vˈæɫən  tˌaɪnz 
VALENTINES,vˈæɫən  tˌaɪnz 
VALENTINI,vˌæɫən  tˈini 
VALENTINO,vˌæɫən  tˈinoʊ
VALENTINO'S,vˌæɫən  tˈinoʊz 
VALENZA,vəɫˈɛnzə
VALENZANO,vˌæɫɛnzˈɑnoʊ
VALENZUELA,vɑɫɛnzˈuɫə
VALEO,vˈæɫioʊ
VALERA,vəɫˈɛrə
VALERI,vɑɫˈɛri 
VALERIA,vəɫˈɪriə
VALERIAN,vəɫˈɪriən 
VALERIANO,vɑɫɝiˈɑnoʊ
VALERIE,vˈæɫɝi 
VALERIO,vəɫˈɪrioʊ
VALERO,vəɫˈɛroʊ
VALERY,vˈæɫɝi 
VALES,vˈeɪɫz 
VALESKA,vɑɫˈeɪskə
VALET,væɫˈeɪ
VALHALLA,vˌæɫhˈæɫə
VALHI,vˈæɫhi 
VALIA,vˈæɫjə
VALIANT,vˈæɫjən  t 
VALIANTLY,vˈæɫjən  tɫi 
VALID,vˈæɫɪ  d 
VALIDA,vɑɫˈi  də
VALIDATE,vˈæɫə deɪ t 
VALIDATED,vˈæɫə deɪ tə d 
VALIDATES,vˈæɫə dˌeɪ ts 
VALIDATING,vˈæɫə dˌeɪ tɪŋ 
VALIDATION,vˌæɫə dˈeɪʃən 
VALIDED,vˈæɫə dɪ  d 
VALIDITY,vəɫˈɪ  dɪ  ti 
VALIDLY,vˈæɫɪ  dɫi 
VALIENTE,vˌɑɫiˈɛn  tˌi 
VALIN,vˈæɫɪn 
VALIQUETTE,vˈæɫɪkˌɛ  t 
VALIS,vˈæɫɪs 
VALIUM,vˈæɫˌiəm 
VALK,vˈɔk 
VALKO,vˈæɫkoʊ
VALKYRIE,vˌæɫkˈɪrˌiə
VALLA,vˈæɫə
VALLADARES,vɑɫɑ  dˈɑrɛs 
VALLANCE,vˈæɫəns 
VALLANDINGHAM,væɫˈʌn  dɪŋhˌæm 
VALLARIO,vɑɫˈɑrioʊ
VALLARTA,vˌæɫˈɑr tɑ 
VALLAS,vˈæɫəz 
VALLE,vˈeɪɫ 
VALLEAU,vəɫˈoʊ
VALLEE,vˈæɫi 
VALLEGRANDE,vˌæɫigrˈæn  di 
VALLEGRANDE(1),vˌæɫigrˈæn  d 
VALLEJO,vɑɫˈeɪjoʊ
VALLEJOS,vɑɫˈeɪjoʊz 
VALLELY,vˈeɪɫi 
VALLELY(1),vˈæɫi 
VALLERY,vˈæɫɝi 
VALLES,vˈeɪɫz 
VALLETTE,vˌæɫˈɛ  t 
VALLEY,vˈæɫi 
VALLEY'S,vˈæɫiz 
VALLEYS,vˈæɫiz 
VALLEZ,vɑɫˈɛz 
VALLI,vˈæɫi 
VALLIANT,vɑɫˈiən  t 
VALLIE,vˈɔɫi 
VALLIER,vˈæɫiɝ
VALLIERE,vˈæɫiɛr
VALLIS,vˈæɫɪs 
VALLO,vˈæɫoʊ
VALLONE,vɑɫˈoʊni 
VALLOT,vˈæɫə t 
VALLS,vˈɔɫz 
VALMEYER,vˈæɫmaɪɝ
VALMONT,vˈɔɫmˌɑn  t 
VALOIS,væɫwˈɑ 
VALONE,vəɫˈoʊn 
VALONIA,vəɫˈoʊnjə
VALOR,vˈæɫɝ
VALOREE,vˈæɫɝˈi 
VALORES,vəɫˈɔrɛz 
VALPARAISO,vˌæɫ  pɝˈeɪsoʊ
VALSELLA,vɔɫsˈɛɫə
VALSPAR,vˈæɫz  pɑr
VALTEK,vˈɔɫ  tˌɛk 
VALTIERRA,vɑɫ  tˈɪrə
VALU,vˈæɫju
VALUABLE,vˈæɫjəbəɫ 
VALUABLE(1),vˈæɫjubəɫ 
VALUABLES,vˈæɫjəbəɫz 
VALUABLES(1),vˈæɫjubəɫz 
VALUATION,væɫjuˈeɪʃən 
VALUATIONS,væɫjuˈeɪʃənz 
VALUE,vˈæɫju
VALUED,vˈæɫju d 
VALUELESS,vˈæɫjuɫəs 
VALUEPOINT,vˈæɫju pˌɔɪn  t 
VALUES,vˈæɫjuz 
VALUES',vˈæɫjuz 
VALUEVISION,vˈæɫjuvˌɪʒən 
VALUING,vˈæɫjuɪŋ 
VALUJET,vˈæɫjudʒˌɛ  t 
VALUJET'S,vˈæɫjudʒˌɛ  ts 
VALUKAS,vəɫˈukəs 
VALVANO,vɑɫvˈɑnoʊ
VALVE,vˈæɫv 
VALVERDE,vɑɫvˈɛr deɪ
VALVES,vˈæɫvz 
VALVO,vˈɑɫvoʊ
VALVOLINE,vˈæɫvəɫˌin 
VAMOS,vˈɑmoʊz 
VAMP,vˈæm  p 
VAMPIRE,vˈæm  paɪr 
VAMPIRE'S,vˈæm  paɪrz 
VAMPIRES,vˈæm  paɪrz 
VAMPIRIC,væm  pˈɪrɪk 
VAN,vˈæn 
VANA,vˈænə
VANACKER,vænˈækɝ
VANACORE,vɑnɑkˈɔri 
VANADIUM,vənˈeɪ diəm 
VANAKEN,vˈænəkən 
VANALLEN,vənˈɔɫən 
VANALSTINE,vænˈæɫs  tin 
VANALSTYNE,vˈænəɫs  tˌaɪn 
VANAMAN,vænˈɔmən 
VANAMBURG,vænˈæmbɝg 
VANAMBURGH,vænˈæmbɝg 
VANANTWERP,vənˈæn  twɝ p 
VANARSDALE,vˈænɝz  dˌeɪɫ 
VANARSDALL,vənˈɑrs  dəɫ 
VANASSE,vænˈæs 
VANATTA,vɑnˈɑ  tə
VANATTER,vɑnˈæ  tɝ
VANAUKEN,vænˈaʊkən 
VANAUSDALL,vænˈaʊs  dəɫ 
VANBEBBER,vˌænbˈɛbɝ
VANBEEK,vˌænbˈik 
VANBENSCHOTEN,vænbˈɛnʃə tən 
VANBERGEN,vænbˈɝgən 
VANBIBBER,vˌænbˈɪbɝ
VANBIESBROUCK,vˌænbˈiəsbrˌuk 
VANBLARCOM,vˌænbɫˈɑrkəm 
VANBLARICOM,vˌænbɫˈærɪkəm 
VANBROCKLIN,vˌænbrˈɑkɫɪn 
VANBRUNT,vˌænbrˈʌn  t 
VANBUREN,vænbjˈurən 
VANBUSKIRK,vˌænbˈʌskɝk 
VANCAMP,vˌænkˈæm  p 
VANCAMPEN,vˌænkˈæm  pən 
VANCE,vˈæns 
VANCIL,vˈænsəɫ 
VANCISE,vˈɑntʃaɪs 
VANCLEAVE,vˈænkɫəv 
VANCLEEF,vˌænkɫˈi  f 
VANCLEVE,vˌænkɫˈiv 
VANCOMYCIN,vˌænkoʊmˈaɪsɪn 
VANCOTT,vənkˈɑ  t 
VANCOURT,vənkˈɔr t 
VANCOUVER,vænkˈuvɝ
VANCOUVER'S,vænkˈuvɝz 
VANCURA,vɑnkˈʊrə
VANCUREN,vænkjˈurən 
VANDAELE,væn  dˈɛɫ 
VANDAGRIFF,vˌæn  dˈægrɪ  f 
VANDAGRIFF(1),vˈæn  dəgrɪ  f 
VANDAL,vˈæn  dəɫ 
VANDALEN,vˌæn  dˈæɫən 
VANDALISM,vˈæn  dəɫɪzəm 
VANDALIZE,vˈæn  dəɫˌaɪz 
VANDALIZED,vˈæn  dəɫˌaɪz  d 
VANDALIZING,vˈæn  dəɫˌaɪzɪŋ 
VANDALL,vˌæn  dˈɔɫ 
VANDALS,vˈæn  dəɫz 
VANDAM,vˌæn  dˈæm 
VANDAMME,vˌæn  dˈæm 
VANDE,vˈæn  d 
VANDEBERG,vˈæn  dəbɝg 
VANDECAR,vˈæn  dəkˌɑr
VANDEGRIFT,vˈæn  dəgrɪ  f  t 
VANDEHEI,vˈæn  dəhaɪ
VANDEHEY,vˈæn  dɪhi 
VANDELLA,vˌæn  dˈɛɫə
VANDELLAS,vˌæn  dˈɛɫəz 
VANDEMAN,vˈæn  dəmən 
VANDEMARK,vˈæn  dəmˌɑrk 
VANDEN,vˈæn  dən 
VANDENBERG,vˈæn  dənbɝg 
VANDENBERGH,vˈæn  dənbɝg 
VANDENBERGHE,vˈæn  dənbɝg 
VANDENBOOM,vˈæn  dənbˌum 
VANDENBOS,vˈæn  dənboʊz 
VANDENBOSCH,vˈæn  dənbˌɔʃ 
VANDENBRINK,vˈæn  dənbrɪŋk 
VANDENBURG,vˈæn  dənbɝg 
VANDENBURGH,vˈæn  dənbɝg 
VANDENHEUVEL,vˈæn  dənhɔɪvəɫ 
VANDER,vˈæn  dɝ
VANDERBECK,vˈæn  dɝbˌɛk 
VANDERBEEK,vˈæn  dɝbˌik 
VANDERBERG,vˈæn  dɝbɝg 
VANDERBILT,vˈæn  dɝbɪɫ  t 
VANDERBURG,vˈæn  dɝbɝg 
VANDERBUSH,vˈæn  dɝbʊʃ 
VANDERCOOK,vˈæn  dɝkˌʊk 
VANDERFORD,vˈæn  dɝ fɝ d 
VANDERGRIFF,vˈæn  dɝgrɪ  f 
VANDERGRIFT,vˈæn  dɝgrɪ  f  t 
VANDERGRIFT'S,vˈæn  dɝgrˌɪ  f  ts 
VANDERHEIDE,vˈæn  dɝhˌaɪ d 
VANDERHEIDEN,vˈæn  dɝhaɪ dən 
VANDERHEYDEN,vˈæn  dɝheɪ dən 
VANDERHOEF,vˈæn  dɝhˌoʊ f 
VANDERHOFF,vˈæn  dɝhˌɔ  f 
VANDERHOOF,vˈæn  dɝhˌʊ  f 
VANDERHORST,vˈæn  dɝhˌɔrs  t 
VANDERKOLK,vˈæn  dɝkˌoʊk 
VANDERKOOI,vˈæn  dɝkˌui 
VANDERLAAN,vˈæn  dɝɫˌɑn 
VANDERLEEST,vˈæn  dɝəɫˌis  t 
VANDERLINDE,vˈæn  dɝɫˌɪn  d 
VANDERLINDEN,vˈæn  dɝɫˌɪn  dən 
VANDERLIP,vˈæn  dɝɫˌɪ  p 
VANDERMARK,vˈæn  dɝmˌɑrk 
VANDERMEER,vˈæn  dɝmˌɪr 
VANDERMEULEN,vˈæn  dɝmˌɔɪɫən 
VANDERMOLEN,vˈæn  dɝmˌɑɫən 
VANDERPLOEG,vˈæn  dɝ pɫˌoʊg 
VANDERPOEL,vˈæn  dɝ pˌoʊɫ 
VANDERPOL,vˈæn  dɝ pˌɔɫ 
VANDERPOOL,vˈæn  dɝ pˌuɫ 
VANDERSCHAAF,vˈæn  dɝʃˌɑ  f 
VANDERSLICE,vˈæn  dɝsɫˌaɪs 
VANDERSLUIS,vˈæn  dɝsɫˌuɪs 
VANDERSLUIS(1),vˈæn  dɝsɫˌus 
VANDERVEEN,vˈæn  dɝvˌin 
VANDERVEER,vˈæn  dɝvˌɪr 
VANDERVELDE,vˈæn  dɝvˌɛɫ  d 
VANDERVELDEN,vˈæn  dɝvˌɛɫ  dən 
VANDERVLIET,vˈæn  dɝvɫˌi  t 
VANDERVOORT,vˈæn  dɝvˌʊr t 
VANDERVORT,vˈæn  dɝvˌɔr t 
VANDERWAL,vˈæn  dɝwˌɑɫ 
VANDERWALL,vˈæn  dɝwˌɑɫ 
VANDERWEELE,vˈæn  dɝwˌiɫ 
VANDERWEIDE,vˈæn  dɝwˌaɪ d 
VANDERWERF,vˈæn  dɝwˌɝ f 
VANDERWERFF,vˈæn  dɝwˌɝ f 
VANDERWILT,vˈæn  dɝwˌɪɫ  t 
VANDERWOUDE,vˈæn  dɝwˌaʊ d 
VANDERZANDEN,vˈæn  dɝzˌæn  dən 
VANDERZEE,vˈæn  dɝzˌi 
VANDEUSEN,væn  dˈɔɪsən 
VANDEVANDER,vˈæn  dəvˌæn  dɝ
VANDEVEER,vˈæn  dəvˌɪr 
VANDEVELDE,vˈæn  dəvˌɛɫ  d 
VANDEVEN,vˈæn  dəvən 
VANDEVENDER,vˈæn  dəvˌɛn  dɝ
VANDEVENTER,vˈæn  dəvən  tɝ
VANDEVER,vˌæn  dˈivɝ
VANDEVOORDE,vˈæn  dəvʊr d 
VANDEVOORT,vˈæn  dəvʊr t 
VANDEWALKER,vˈæn  dəwˌɔkɝ
VANDEWALLE,væn  dˈueɪɫ 
VANDEWATER,vˈæn  dəwɔ  tɝ
VANDEZANDE,vˈæn  dəzɪn  d 
VANDINE,vˌæn  dˈaɪn 
VANDIVER,vˈæn  dˌaɪvɝ
VANDIVIER,væn  dˈaɪviɝ
VANDOREN,væn  dˈɔrən 
VANDORN,væn  dˈɔrn 
VANDRIEL,vˌæn  drˈiɫ 
VANDROSS,vˌæn  drˈɔs 
VANDUNK,vˌæn  dˈʌŋk 
VANDUSEN,væn  dˈusən 
VANDUYN,vˌæn  dˈaɪn 
VANDUYNE,vˌæn  dˈaɪn 
VANDUZER,vˌæn  dˈuzɝ
VANDYCK,væn  dˈɪk 
VANDYK,vˈæn  dɪk 
VANDYKE,vˌæn  dˈaɪk 
VANDYKEN,vˌæn  dˈaɪkən 
VANDYNE,vˈæn  dˌaɪn 
VANE,vˈeɪn 
VANEATON,vˈænə tɑn 
VANECEK,vænˈɛsɪk 
VANECK,vˈɑnɛk 
VANEGAS,vænˈigəz 
VANEK,vænˈɛk 
VANELLA,vənˈɛɫə
VANENGEN,vænˈɛŋən 
VANEPPS,vænˈɛ  ps 
VANES,vˈeɪnz 
VANESS,vˈænəs 
VANESSA,vənˈɛsə
VANESSEN,vˈɑnɪsən 
VANETTEN,vˈænˈɛ  tən 
VANEVERY,vənˈɛvri 
VANFLEET,vˌæn  fɫˈi  t 
VANFOSSAN,væn  fˈɑsən 
VANFOSSEN,væn  fˈɑsən 
VANG,vˈæŋ 
VANGEL,vˈeɪŋgəɫ 
VANGELDER,vˈeɪŋgɪɫ  dɝ
VANGIE,vˈæŋi 
VANGIESON,vˈæŋgizən 
VANGILDER,vˈæŋgɪɫ  dɝ
VANGORDEN,vˈæŋgɝ dən 
VANGORDER,vˈæŋgɝ dɝ
VANGORP,vˈæŋgɝ p 
VANGUARD,vˈængˌɑr d 
VANGUARD'S,vˈængˌɑr dz 
VANGUILDER,vængˈaɪɫ  dɝ
VANGUNDY,vəŋgˈʌn  di 
VANGY,vˈændʒi 
VANHALL,vˌænhˈɔɫ 
VANHANDEL,vˌænhˈæn  dəɫ 
VANHECKE,vˌænhˈɛk 
VANHEEL,vˌænhˈiɫ 
VANHISE,vænhˈaɪz 
VANHOESEN,vˌænhˈoʊsən 
VANHOOK,vˌænhˈʊk 
VANHOOSE,vˌænhˈus 
VANHOOSER,vˌænhˈuzɝ
VANHOOZER,vˌænhˈuzɝ
VANHORN,vænhˈɔrn 
VANHORNE,vænhˈɔrn 
VANHOUSEN,vˈænhˌaʊsən 
VANHOUTEN,vænhˈɑu tən 
VANHOVE,vænhˈʌv 
